Gene ID	P value	avg_log(Foldchange)	pct.1 (enriched cluster)	pct.2 (other clusters)	adjusted P value	cluster
LOC-Os06g50300	8.95E-34	0.300517773	0.533	0.225	3.51E-29	endodermis
LOC-Os08g44460	9.97E-34	0.398237116	0.937	0.715	3.91E-29	endodermis
LOC-Os06g49480	1.39E-33	0.548559306	0.832	0.578	5.47E-29	endodermis
LOC-Os03g38120	1.99E-33	0.370965622	0.818	0.545	7.79E-29	endodermis
LOC-Os07g14270	3.60E-33	0.641363048	0.853	0.618	1.41E-28	endodermis
LOC-Os02g07840	3.68E-33	0.299553622	0.516	0.215	1.44E-28	endodermis
LOC-Os04g38610	3.96E-33	0.449496757	0.653	0.316	1.55E-28	endodermis
LOC-Os01g68500	4.13E-33	0.337131502	0.558	0.25	1.62E-28	endodermis
LOC-Os05g30800	4.93E-33	0.306515627	0.618	0.295	1.93E-28	endodermis
LOC-Os03g21040	5.68E-33	0.545731062	0.912	0.633	2.23E-28	endodermis
LOC-Os04g02830	7.66E-33	0.460198159	0.902	0.723	3.00E-28	endodermis
LOC-Os01g04260	8.32E-33	0.330428707	0.621	0.291	3.26E-28	endodermis
LOC-Os01g70020	8.71E-33	0.291233347	0.47	0.178	3.42E-28	endodermis
LOC-Os12g07490	9.54E-33	0.357392411	0.551	0.261	3.74E-28	endodermis
LOC-Os01g438701	1.08E-32	0.389482118	0.695	0.346	4.24E-28	endodermis
LOC-Os04g49680	1.43E-32	0.263075023	0.453	0.172	5.59E-28	endodermis
LOC-Os02g26814	1.62E-32	0.277171813	0.6	0.27	6.36E-28	endodermis
LOC-Os08g44520	1.63E-32	0.327305241	0.698	0.365	6.40E-28	endodermis
LOC-Os04g423401	4.37E-32	0.42708858	0.73	0.404	1.71E-27	endodermis
LOC-Os01g73310	5.35E-32	0.334294608	0.488	0.208	2.10E-27	endodermis
LOC-Os09g32526	5.50E-32	0.323647911	0.519	0.22	2.16E-27	endodermis
